Order ID,Date_Order_Placed,Time_Order_Placed,Purchase Address,Location,State Code,PinCode,OrderTotal,,,,,,,,,,,,,,,,,,
141342,1/26/2019,21:13,119 9th St, Seattle,WA,98101,$11.99,,,,,,,,,,,,,,,,,,
141343,1/24/2019,13:36,157 1st St, New York City,NY,10001,$99.99,,,,,,,,,,,,,,,,,,
141344,1/20/2019,12:38,443 Washington St, Portland,OR,97035,$150.00,,,,,,,,,,,,,,,,,,
141345,1/9/2019,13:55,398 5th St, San Francisco,CA,94016,$11.95,,,,,,,,,,,,,,,,,,
141346,1/14/2019,13:59,285 Cherry St, Boston,MA,2215,$150.00,,,,,,,,,,,,,,,,,,
141347,1/27/2019,17:46,885 Walnut St, Atlanta,GA,30301,$3.84,,,,,,,,,,,,,,,,,,
141348,1/26/2019,18:56,493 5th St, Portland,OR,97035,$23.90,,,,,,,,,,,,,,,,,,
141349,1/3/2019,20:51,886 10th St, New York City,NY,10001,$14.95,,,,,,,,,,,,,,,,,,
141350,1/1/2019,11:17,804 River St, San Francisco,CA,94016,$14.95,,,,,,,,,,,,,,,,,,
141351,1/24/2019,17:02,865 Church St, San Francisco,CA,94016,$23.90,,,,,,,,,,,,,,,,,,
141352,1/11/2019,19:07,800 4th St, Los Angeles,CA,90001,$14.95,,,,,,,,,,,,,,,,,,
141353,1/26/2019,10:35,870 Cherry St, New York City,NY,10001,$11.95,,,,,,,,,,,,,,,,,,
141354,1/3/2019,11:12,869 Hill St, Atlanta,GA,30301,$99.99,,,,,,,,,,,,,,,,,,
141355,1/18/2019,15:24,674 Main St, Dallas,TX,75001,$389.99,,,,,,,,,,,,,,,,,,
141356,1/9/2019,17:32,336 1st St, Boston,MA,2215,$14.95,,,,,,,,,,,,,,,,,,
141357,1/23/2019,5:30,850 River St, Atlanta,GA,30301,$14.95,,,,,,,,,,,,,,,,,,
141358,1/5/2019,15:31,911 Madison St, San Francisco,CA,94016,$14.95,,,,,,,,,,,,,,,,,,
141359,1/9/2019,22:21,383 11th St, Seattle,WA,98101,$5.98,,,,,,,,,,,,,,,,,,
141360,1/17/2019,21:00,263 Meadow St, Los Angeles,CA,90001,"$1,700.00",,,,,,,,,,,,,,,,,,
141361,1/23/2019,15:39,181 Lakeview St, Portland,OR,97035,$300.00,,,,,,,,,,,,,,,,,,
141362,1/2/2019,22:17,392 Cherry St, Atlanta,GA,30301,$14.95,,,,,,,,,,,,,,,,,,
141363,1/8/2019,6:24,921 Highland St, Dallas,TX,75001,$11.99,,,,,,,,,,,,,,,,,,
141364,1/1/2019,7:46,657 Lincoln St, Dallas,TX,75001,$3.84,,,,,,,,,,,,,,,,,,
141365,1/10/2019,11:19,20 Dogwood St, New York City,NY,10001,$411.99,,,,,,,,,,,,,,,,,,
141366,1/17/2019,22:34,803 Church St, Seattle,WA,98101,$300.00,,,,,,,,,,,,,,,,,,
141367,1/9/2019,10:06,23 13th St, San Francisco,CA,94016,$389.99,,,,,,,,,,,,,,,,,,
141368,1/10/2019,21:39,387 Hill St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141369,1/21/2019,21:03,785 9th St, San Francisco,CA,94016,$14.95,,,,,,,,,,,,,,,,,,
141370,1/24/2019,20:53,375 Center St, Seattle,WA,98101,$5.98,,,,,,,,,,,,,,,,,,
141371,1/23/2019,18:34,685 West St, Atlanta,GA,30301,$14.95,,,,,,,,,,,,,,,,,,
141372,1/26/2019,10:07,134 Hickory St, Portland,ME,4101,$2.99,,,,,,,,,,,,,,,,,,
141373,1/20/2019,13:08,82 Hickory St, San Francisco,CA,94016,$149.99,,,,,,,,,,,,,,,,,,
141374,1/14/2019,10:12,386 12th St, Boston,MA,2215,$11.99,,,,,,,,,,,,,,,,,,
141375,1/10/2019,13:51,49 Center St, Los Angeles,CA,90001,$389.99,,,,,,,,,,,,,,,,,,
141376,1/20/2019,14:57,32 West St, Los Angeles,CA,90001,$11.99,,,,,,,,,,,,,,,,,,
141377,1/20/2019,15:12,711 11th St, San Francisco,CA,94016,$11.99,,,,,,,,,,,,,,,,,,
141378,1/22/2019,10:25,777 North St, Boston,MA,2215,$11.95,,,,,,,,,,,,,,,,,,
141379,1/25/2019,18:00,378 Center St, San Francisco,CA,94016,$3.84,,,,,,,,,,,,,,,,,,
141380,1/17/2019,18:45,868 14th St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141381,1/3/2019,18:22,336 Jackson St, Los Angeles,CA,90001,$99.99,,,,,,,,,,,,,,,,,,
141382,1/16/2019,13:50,613 Ridge St, Dallas,TX,75001,$2.99,,,,,,,,,,,,,,,,,,
141383,1/8/2019,10:01,418 11th St, Boston,MA,2215,$2.99,,,,,,,,,,,,,,,,,,
141384,1/3/2019,0:14,223 Jackson St, Boston,MA,2215,$611.95,,,,,,,,,,,,,,,,,,
141385,1/10/2019,12:59,502 Walnut St, Atlanta,GA,30301,"$1,700.00",,,,,,,,,,,,,,,,,,
141386,1/8/2019,19:27,692 13th St, New York City,NY,10001,$14.95,,,,,,,,,,,,,,,,,,
141387,1/17/2019,11:12,807 Jackson St, San Francisco,CA,94016,$2.99,,,,,,,,,,,,,,,,,,
141388,1/22/2019,10:53,24 Park St, Dallas,TX,75001,$14.95,,,,,,,,,,,,,,,,,,
141389,1/26/2019,11:07,176 Church St, Los Angeles,CA,90001,$3.84,,,,,,,,,,,,,,,,,,
141390,1/26/2019,11:22,667 Park St, New York City,NY,10001,$11.99,,,,,,,,,,,,,,,,,,
141391,1/31/2019,10:02,375 Johnson St, New York City,NY,10001,$99.99,,,,,,,,,,,,,,,,,,
141392,1/25/2019,13:51,755 Cherry St, Seattle,WA,98101,$150.00,,,,,,,,,,,,,,,,,,
141393,1/18/2019,17:57,240 Meadow St, Boston,MA,2215,$11.95,,,,,,,,,,,,,,,,,,
141394,1/6/2019,16:54,534 12th St, San Francisco,CA,94016,$700.00,,,,,,,,,,,,,,,,,,
141395,1/29/2019,16:20,790 Hickory St, Portland,ME,4101,$2.99,,,,,,,,,,,,,,,,,,
141396,1/26/2019,14:10,141 Elm St, San Francisco,CA,94016,$11.95,,,,,,,,,,,,,,,,,,
141397,1/13/2019,12:59,940 8th St, New York City,NY,10001,$14.95,,,,,,,,,,,,,,,,,,
141398,1/4/2019,16:31,33 Jackson St, Dallas,TX,75001,$2.99,,,,,,,,,,,,,,,,,,
141399,1/17/2019,9:57,830 Walnut St, Atlanta,GA,30301,$999.99,,,,,,,,,,,,,,,,,,
141400,1/18/2019,18:09,215 Park St, New York City,NY,10001,$14.95,,,,,,,,,,,,,,,,,,
141401,1/23/2019,12:50,34 Cedar St, Portland,OR,97035,$150.00,,,,,,,,,,,,,,,,,,
141402,1/7/2019,12:56,939 Lakeview St, Atlanta,GA,30301,$2.99,,,,,,,,,,,,,,,,,,
141403,1/26/2019,16:41,216 Meadow St, Boston,MA,2215,$14.95,,,,,,,,,,,,,,,,,,
141404,1/29/2019,20:06,200 14th St, San Francisco,CA,94016,$3.84,,,,,,,,,,,,,,,,,,
141405,1/29/2019,11:00,247 Forest St, Los Angeles,CA,90001,$11.99,,,,,,,,,,,,,,,,,,
141406,1/28/2019,12:02,110 13th St, Seattle,WA,98101,$11.95,,,,,,,,,,,,,,,,,,
141407,1/1/2019,16:06,946 12th St, Portland,ME,4101,$150.00,,,,,,,,,,,,,,,,,,
141408,1/7/2019,13:25,103 14th St, San Francisco,CA,94016,$150.00,,,,,,,,,,,,,,,,,,
141409,1/1/2019,21:49,36 Highland St, Portland,ME,4101,$99.99,,,,,,,,,,,,,,,,,,
141410,1/3/2019,22:02,890 6th St, Dallas,TX,75001,$149.99,,,,,,,,,,,,,,,,,,
141411,1/15/2019,5:35,350 Main St, New York City,NY,10001,$11.99,,,,,,,,,,,,,,,,,,
141412,1/14/2019,17:16,397 Dogwood St, Atlanta,GA,30301,$7.68,,,,,,,,,,,,,,,,,,
141413,1/24/2019,17:54,793 5th St, San Francisco,CA,94016,$3.84,,,,,,,,,,,,,,,,,,
141414,1/26/2019,3:38,609 14th St, New York City,NY,10001,$600.00,,,,,,,,,,,,,,,,,,
141415,1/12/2019,19:02,81 Madison St, San Francisco,CA,94016,$11.99,,,,,,,,,,,,,,,,,,
141416,1/2/2019,13:37,209 North St, Atlanta,GA,30301,$2.99,,,,,,,,,,,,,,,,,,
141417,1/3/2019,8:21,207 1st St, San Francisco,CA,94016,$99.99,,,,,,,,,,,,,,,,,,
141418,1/10/2019,12:48,145 Lakeview St, New York City,NY,10001,$150.00,,,,,,,,,,,,,,,,,,
141419,1/22/2019,11:53,910 Meadow St, San Francisco,CA,94016,$11.99,,,,,,,,,,,,,,,,,,
141420,1/9/2019,12:19,74 7th St, San Francisco,CA,94016,$29.90,,,,,,,,,,,,,,,,,,
141421,1/24/2019,13:18,154 7th St, Dallas,TX,75001,$300.00,,,,,,,,,,,,,,,,,,
141422,1/16/2019,22:23,970 Lakeview St, Boston,MA,2215,$150.00,,,,,,,,,,,,,,,,,,
141423,1/6/2019,13:41,440 South St, New York City,NY,10001,$29.90,,,,,,,,,,,,,,,,,,
141424,1/13/2019,19:49,971 Walnut St, Atlanta,GA,30301,$150.00,,,,,,,,,,,,,,,,,,
141425,1/19/2019,14:59,347 Hill St, Atlanta,GA,30301,$11.99,,,,,,,,,,,,,,,,,,
141426,1/12/2019,12:57,824 Madison St, Dallas,TX,75001,$600.00,,,,,,,,,,,,,,,,,,
141427,1/16/2019,14:44,355 13th St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141428,1/22/2019,10:06,295 West St, New York City,NY,10001,$3.84,,,,,,,,,,,,,,,,,,
141429,1/21/2019,6:04,273 Hill St, Atlanta,GA,30301,$150.00,,,,,,,,,,,,,,,,,,
141430,1/23/2019,21:37,428 Cedar St, Los Angeles,CA,90001,$379.99,,,,,,,,,,,,,,,,,,
141431,1/4/2019,7:16,728 Lakeview St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141432,1/18/2019,22:38,574 Johnson St, San Francisco,CA,94016,$11.95,,,,,,,,,,,,,,,,,,
141433,1/15/2019,20:08,179 West St, San Francisco,CA,94016,$600.00,,,,,,,,,,,,,,,,,,
141434,1/13/2019,19:03,480 Lakeview St, San Francisco,CA,94016,$389.99,,,,,,,,,,,,,,,,,,
141435,1/15/2019,10:55,445 4th St, Atlanta,GA,30301,$11.95,,,,,,,,,,,,,,,,,,
141436,1/3/2019,7:59,792 Lakeview St, San Francisco,CA,94016,$99.99,,,,,,,,,,,,,,,,,,
141437,1/10/2019,15:40,377 Meadow St, New York City,NY,10001,$700.00,,,,,,,,,,,,,,,,,,
141438,1/29/2019,17:36,331 Center St, Seattle,WA,98101,$23.98,,,,,,,,,,,,,,,,,,
141439,1/9/2019,20:49,536 Walnut St, Boston,MA,2215,$300.00,,,,,,,,,,,,,,,,,,
141440,1/31/2019,23:10,222 Lakeview St, San Francisco,CA,94016,$600.00,,,,,,,,,,,,,,,,,,
141441,1/20/2019,19:08,631 Elm St, Los Angeles,CA,90001,$3.84,,,,,,,,,,,,,,,,,,
141442,1/6/2019,10:27,186 Meadow St, New York City,NY,10001,$600.00,,,,,,,,,,,,,,,,,,
141443,1/15/2019,19:22,485 Elm St, Los Angeles,CA,90001,$14.95,,,,,,,,,,,,,,,,,,
141444,1/22/2019,22:56,776 5th St, San Francisco,CA,94016,$2.99,,,,,,,,,,,,,,,,,,
141445,1/23/2019,21:37,112 Madison St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141446,1/16/2019,20:03,150 14th St, Seattle,WA,98101,$99.99,,,,,,,,,,,,,,,,,,
141447,1/15/2019,21:14,51 10th St, Boston,MA,2215,$2.99,,,,,,,,,,,,,,,,,,
141448,1/7/2019,15:50,895 Forest St, San Francisco,CA,94016,$99.99,,,,,,,,,,,,,,,,,,
141449,1/25/2019,15:41,450 Dogwood St, Boston,MA,2215,$11.95,,,,,,,,,,,,,,,,,,
141450,1/12/2019,11:16,521 Park St, San Francisco,CA,94016,$699.99,,,,,,,,,,,,,,,,,,
141451,1/18/2019,18:01,678 Elm St, Portland,OR,97035,$3.84,,,,,,,,,,,,,,,,,,
141452,1/16/2019,13:37,593 14th St, Austin,TX,73301,$99.99,,,,,,,,,,,,,,,,,,
141453,1/6/2019,13:09,469 4th St, Atlanta,GA,30301,"$1,700.00",,,,,,,,,,,,,,,,,,
141454,1/12/2019,21:43,87 North St, New York City,NY,10001,$99.99,,,,,,,,,,,,,,,,,,
141455,1/6/2019,9:26,588 Main St, Los Angeles,CA,90001,$150.00,,,,,,,,,,,,,,,,,,
141456,1/5/2019,13:28,676 Cedar St, Boston,MA,2215,$2.99,,,,,,,,,,,,,,,,,,
141457,1/9/2019,22:11,820 Jackson St, Seattle,WA,98101,$850.00,,,,,,,,,,,,,,,,,,
141458,1/29/2019,1:12,497 Park St, San Francisco,CA,94016,$700.00,,,,,,,,,,,,,,,,,,
141459,1/7/2019,13:20,344 Lakeview St, New York City,NY,10001,$2.99,,,,,,,,,,,,,,,,,,
141460,1/26/2019,17:29,855 2nd St, New York City,NY,10001,$700.00,,,,,,,,,,,,,,,,,,
141461,1/2/2019,10:34,233 Cherry St, Dallas,TX,75001,$14.95,,,,,,,,,,,,,,,,,,
141462,1/30/2019,23:34,542 Wilson St, Atlanta,GA,30301,$11.99,,,,,,,,,,,,,,,,,,
141463,1/22/2019,18:14,147 Center St, Boston,MA,2215,$150.00,,,,,,,,,,,,,,,,,,
141464,1/31/2019,1:03,795 13th St, New York City,NY,10001,$7.68,,,,,,,,,,,,,,,,,,
141465,1/30/2019,11:24,340 10th St, Atlanta,GA,30301,$14.95,,,,,,,,,,,,,,,,,,
141466,1/24/2019,16:09,269 4th St, Seattle,WA,98101,$5.98,,,,,,,,,,,,,,,,,,
141467,1/22/2019,19:48,154 Jackson St, Boston,MA,2215,$99.99,,,,,,,,,,,,,,,,,,
141468,1/7/2019,15:21,268 8th St, Austin,TX,73301,$300.00,,,,,,,,,,,,,,,,,,
141469,1/2/2019,7:44,163 8th St, San Francisco,CA,94016,$300.00,,,,,,,,,,,,,,,,,,
141470,1/9/2019,17:29,571 Jefferson St, Boston,MA,2215,$2.99,,,,,,,,,,,,,,,,,,
141471,1/17/2019,14:21,81 11th St, Los Angeles,CA,90001,$150.00,,,,,,,,,,,,,,,,,,
141472,1/27/2019,7:05,853 9th St, San Francisco,CA,94016,$700.00,,,,,,,,,,,,,,,,,,
141473,1/11/2019,16:48,768 Maple St, San Francisco,CA,94016,$700.00,,,,,,,,,,,,,,,,,,
141474,1/17/2019,22:58,580 Johnson St, Boston,MA,2215,$150.00,,,,,,,,,,,,,,,,,,
141475,1/7/2019,8:41,548 10th St, Boston,MA,2215,$14.95,,,,,,,,,,,,,,,,,,
141476,1/6/2019,15:38,295 Hickory St, New York City,NY,10001,$700.00,,,,,,,,,,,,,,,,,,
141477,1/20/2019,9:24,371 South St, San Francisco,CA,94016,$3.84,,,,,,,,,,,,,,,,,,
141478,1/26/2019,13:32,303 North St, Atlanta,GA,30301,$750.00,,,,,,,,,,,,,,,,,,
141479,1/12/2019,19:24,613 Main St, Atlanta,GA,30301,$99.99,,,,,,,,,,,,,,,,,,
141480,1/20/2019,12:32,451 River St, Portland,OR,97035,$7.68,,,,,,,,,,,,,,,,,,
141481,1/26/2019,22:19,118 Church St, New York City,NY,10001,$3.84,,,,,,,,,,,,,,,,,,
141482,1/28/2019,13:10,333 7th St, Portland,OR,97035,$11.95,,,,,,,,,,,,,,,,,,
141483,1/21/2019,15:57,216 Willow St, Austin,TX,73301,$300.00,,,,,,,,,,,,,,,,,,
